player_id,position,oaa_rating,arm_rating,arm_rating_filled
676059,2B,36,98,98
676059,3B,82,10,10
676116,1B,30,,50
676356,RF,92,,50
676391,3B,85,24,24
676475,LF,72,78,78
676572,1B,54,72,72
676609,2B,88,,50
676609,SS,65,59,59
676694,CF,89,3,3
676801,CF,62,33,33
676914,LF,87,18,18
677551,SS,69,,50
677587,SS,46,63,63
677594,CF,89,87,87
677649,3B,39,,50
677800,RF,97,87,87
677942,3B,50,86,86
677950,CF,62,9,9
677951,SS,90,90,90
678009,CF,75,38,38
678225,2B,30,,50
678246,2B,8,,50
678246,3B,27,48,48
678662,SS,92,77,77
678877,RF,36,51,51
678882,CF,99,92,92
678882,SS,40,,50
679032,CF,81,86,86
679529,1B,37,18,18
680474,SS,51,30,30
680574,2B,81,89,89
680718,3B,34,99,99
680757,LF,99,60,60
680776,CF,45,34,34
680776,LF,22,76,76
680869,2B,69,19,19
680911,1B,89,,50
680977,2B,67,37,37
681082,2B,92,79,79
681082,SS,40,,50
681297,CF,40,81,81
681297,LF,98,99,99
681393,3B,18,69,69
681481,RF,32,37,37
681546,CF,85,76,76
681624,CF,56,94,94
682177,2B,81,84,84
682622,3B,3,,50
682622,RF,48,77,77
682657,CF,8,90,90
682668,2B,53,81,81
682829,SS,74,97,97
682928,SS,4,50,50
682985,CF,29,,50
682985,LF,91,20,20
682998,CF,75,,50
682998,RF,90,16,16
683002,SS,43,89,89
683011,SS,60,38,38
683146,3B,50,40,40
683734,1B,12,84,84
683734,LF,30,,50
683737,1B,66,50,50
683766,2B,44,60,60
686217,RF,94,19,19
686469,1B,36,75,75
686527,RF,36,71,71
686555,LF,97,36,36
686611,RF,82,26,26
686668,CF,92,96,96
686681,2B,58,48,48
686797,SS,40,21,21
686823,RF,70,,50
686894,CF,70,,50
687263,SS,25,81,81
687363,CF,97,41,41
687401,3B,97,,50
687401,SS,93,66,66
687462,1B,73,51,51
687597,LF,45,68,68
688363,3B,89,33,33
690987,CF,40,67,67
690993,2B,44,39,39
691016,1B,30,61,61
691016,LF,72,89,89
691023,RF,15,86,86
691026,SS,93,96,96
691176,LF,5,93,93
691406,3B,27,63,63
691718,CF,98,84,84
691723,1B,42,68,68
691781,3B,71,93,93
692225,2B,5,48,48
693049,RF,55,,50
693304,2B,69,74,74
694192,CF,48,45,45
694192,LF,89,32,32
694384,1B,22,70,70
694497,CF,62,29,29
694671,LF,94,38,38
